user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,parsed_date,only_date,only_time,datetime_for_sorting
autismfather+physician,"Chicago, IL",medical doctor/ father of a child on autism spectrum/ vaccine advocate (not moderna or Pfizer)... profile is 2 days old,2021-01-25 19:01:49,41.0,27,713,False,2021-02-13 22:05:46,1966 season 1 episode 5 :   #startrek : the great #drmccoy could not save patient zero. Predictions are eerie… https://t.co/71OkXX9FKP,"['startrek', 'drmccoy']",Twitter for iPhone,False,2021-02-13 22:05:46,2021-02-13,22:05:46,2021-02-13 22:05:46
"Nicole Cifra MD, MPH","Rochester, NY","Adolescent med fellow at @UR_Med. Passionate ab eating disorders. Musician, artist, #Tweetiatrician. Etsy: https://t.co/yzWriuN7Fd Tweets =\= med advice, views mine.",2011-02-14 17:21:48,1404.0,777,1475,False,2021-02-13 22:06:14,If anyone out there has been offered the vaccine because they’re eligible  and are having guilt about getting it be… https://t.co/mKudgZngdk,,Twitter for iPhone,False,2021-02-13 22:06:14,2021-02-13,22:06:14,2021-02-13 22:06:14
Ellen Creager,Detroit,"Ellen Creager is a writer. The former Travel Writer for the Detroit Free Press tweets on travel deals and news and sometimes, inexplicably, science.",2009-02-22 19:09:29,1289.0,146,1264,False,2021-02-13 22:08:33,People in Michigan should follow this helpful new website that is monitoring in real time where #COVIDVaccine appoi… https://t.co/xn4UIZeJIP,['COVIDVaccine'],Twitter for iPhone,False,2021-02-13 22:08:33,2021-02-13,22:08:33,2021-02-13 22:08:33
RS,Lebanon,"Assistant Professor of Clinical Emergency Medicine @AUBMCED; Pediatric Emergency Medicine (PEM); PEM Education and PEM quality.
Views are my own",2014-08-24 18:52:28,61.0,211,225,False,2021-02-13 22:08:46,"Tomorrow 9am. Can't wait! 
Looking forward to the day where everyone gets covid vaccine! @AUBMCED
#COVIDVaccine 
#COVAX","['COVIDVaccine', 'COVAX']",Twitter for Android,False,2021-02-13 22:08:46,2021-02-13,22:08:46,2021-02-13 22:08:46
CoCo Butther,City of Angels,"Former ACD, now SFV blocker, all around Diva. Titles: mom, boss-lady, bae, Miss Jackson if you’re nasty. CIS. Bi/Pan. Pronouns she/ her.  E. A. G. L. E. S.",2012-02-15 06:54:56,435.0,580,12057,False,2021-02-13 22:10:00,My mom got her first dose last week. Dad is scheduled for next Friday. Losing so much family and my 25 yo nephew...… https://t.co/NOqv84AfmV,,Twitter for iPhone,False,2021-02-13 22:10:00,2021-02-13,22:10:00,2021-02-13 22:10:00
daviesnow,"New York, NY",Embracing new ideas while keeping at least 6 feet away. Podcast host/consultant. Interviewer/narrator. Solutions journalist. Retweets not always endorsements.,2010-01-04 17:34:23,3905.0,4956,3879,False,2021-02-13 22:10:25,"Why do many people say they don’t want a #COVIDVaccine ?
We learn the reasons and discuss solutions for vaccine hes… https://t.co/kWEOXL5O0U",['COVIDVaccine'],Twitter for iPhone,False,2021-02-13 22:10:25,2021-02-13,22:10:25,2021-02-13 22:10:25
Eliza #VoteKids #Tweetiatrician Varadi,,"Pediatrician, lactation consultant, child advocate, pseudo linguist, kid at heart & height, mom of 3, immigrant. #tweetiatrician AAP SOECP D IV. Tweets my own.",2012-12-20 04:14:08,1071.0,274,3040,False,2021-02-13 22:10:30,"Roses are Red 🌹
Violets are Blue
Get all your Vaccines 💉
Including the Flu
(And Of course #COVIDVaccine when availa… https://t.co/0WItFgjOif",['COVIDVaccine'],Twitter for Android,False,2021-02-13 22:10:30,2021-02-13,22:10:30,2021-02-13 22:10:30
hill l,"Los Angeles,  CA","""Life is a beautiful, magnificent thing, even to a jellyfish""",2011-01-31 03:57:43,443.0,2591,30647,False,2021-02-13 22:14:13,My mom got her 2nd dose of #COVIDVaccine and i feel like a huge weight has been removed,['COVIDVaccine'],Twitter for iPhone,False,2021-02-13 22:14:13,2021-02-13,22:14:13,2021-02-13 22:14:13
Barfly Sports,Drinking stimulating beverages,Failed Manager out of the game too long. Spends time sat round bars (Coffee bars for 🔞) Saying #IWouldDoBetter (TVs Required) ☕🍻 🧢 P/T 'VAR Repairman` 🖥️,2018-02-27 09:25:40,36.0,392,1447,False,2021-02-13 22:17:36,@GOVUK Is that before or after Hospital visit? Tell your @NHSuk staff to get #COVIDVaccine before BLAMING the gener… https://t.co/RlWy5az8NH,['COVIDVaccine'],Twitter Web App,False,2021-02-13 22:17:36,2021-02-13,22:17:36,2021-02-13 22:17:36
Prosperity Canada 🇨🇦,Canada,"Prosperity Canada is a grassroots organization that advocates for public policy that creates, and advances prosperity for all Canadians.",2014-05-31 19:29:44,5889.0,6106,2392,False,2021-02-13 22:17:47,"When government funded “journalists” like @bruce_arthur try to defend  Trudeau’s handling of the #COVIDVaccine, pas… https://t.co/892NU6QJDs",['COVIDVaccine'],Twitter for iPhone,False,2021-02-13 22:17:47,2021-02-13,22:17:47,2021-02-13 22:17:47
